date,time,restaurant,discount_meal_price,Member
2024-01-22,12:57,KOA Bistro & bar,4.99,Tonda
2024-01-20,12:58,McDonald's restavracija - Cankarjeva,2.64,Tonda
2024-01-19,14:00,Zbornica bar in žar,5.14,Tonda
2024-01-18,21:08,Šeherezada,3.0,Tonda
2024-01-18,14:36,Restavracija Plečnikov hram,4.3,Tonda
2024-01-17,20:47,Pizzeria in oštarija Fugazi,5.14,Tonda
2024-01-16,17:48,Šeherezada,3.0,Tonda
2024-01-15,15:30,Pizzeria Šestinka,0.0,Tonda
2024-01-11,13:48,McDonald's restavracija - Železniška,2.64,Tonda
2024-01-10,20:14,Zbornica bar in žar,5.14,Tonda
2024-01-10,11:46,Pizzeria Šestinka,0.0,Tonda
2024-01-09,12:37,McDonald's restavracija - Cankarjeva,2.64,Tonda
2024-01-08,17:52,Pizzeria Šestinka,0.0,Tonda
2024-01-07,18:39,Gostilnica in pivnica Kratochwill,5.14,Tonda
2024-01-05,11:28,Šeherezada,3.0,Tonda
2024-01-03,15:10,McDonald's restavracija - Cankarjeva,2.64,Tonda
2023-12-20,20:38,Cantina QUE PASA,4.3,Tonda
2023-12-20,14:32,Šeherezada,2.5,Tonda
2023-12-19,19:37,McDonald's restavracija - Cankarjeva,2.64,Tonda
2023-12-18,19:52,Cantina QUE PASA,4.3,Tonda
2023-12-18,15:26,Okrepčevalnica HOLYFOOD,0.0,Tonda
2023-12-17,20:03,McDonald's restavracija - Cankarjeva,2.64,Tonda
2023-12-16,20:28,Pizzeria Šestinka,0.0,Tonda
2023-12-13,20:13,Zbornica bar in žar,5.14,Tonda
2023-12-10,19:10,BURGER TIME,5.14,Tonda
2023-12-10,11:51,Subway,2.64,Tonda
2023-12-09,12:56,BURGER TIME,5.14,Tonda
2023-12-07,20:51,Pizzeria in oštarija Fugazi,5.14,Tonda
2023-12-06,19:39,McDonald's restavracija - Cankarjeva,2.64,Tonda
2023-12-05,19:34,Pizzeria Šestinka,0.0,Tonda
2023-12-03,14:15,Šeherezada,2.5,Tonda
2023-12-01,18:36,Restavracija Fresco,5.1,Tonda
2023-11-30,18:22,Pizzeria Šestinka,0.0,Tonda
2023-11-29,14:46,Okrepčevalnica Marijanca,2.9,Tonda
2023-11-28,16:25,Zbornica bar in žar,5.14,Tonda
2023-11-27,21:25,Kitajska restavracija Novi Šanghai,4.34,Tonda
2023-11-27,12:57,Okrepčevalnica Marijanca,2.9,Tonda
2023-11-23,18:13,Zbornica bar in žar,5.14,Tonda
2023-11-22,20:38,Šeherezada,2.5,Tonda
2023-11-22,14:56,Okrepčevalnica Marijanca,2.9,Tonda
2023-11-19,15:15,Šeherezada,2.5,Tonda
2023-11-17,18:49,Restavracija Fany & Mary,5.14,Tonda
2023-11-11,19:24,McDonald's restavracija - Železniška,2.64,Tonda
2023-11-08,20:48,Šeherezada 2,2.5,Tonda
2023-11-05,19:56,Hit wok,5.14,Tonda
2023-11-04,19:41,Šeherezada,2.5,Tonda
2023-11-01,21:04,Šeherezada,2.5,Tonda
2023-11-01,14:05,McDonald's restavracija - Celje Drive,2.64,Tonda
2023-10-25,20:35,BURGER TIME,5.14,Tonda
2023-10-24,17:41,KOA Bistro & bar,5.14,Tonda
2023-10-18,21:24,Kitajska restavracija Novi Šanghai,4.34,Tonda
2023-10-17,17:27,Restavracija Fany & Mary,5.14,Tonda
2023-10-13,11:21,BURGER TIME,5.14,Tonda
2023-10-12,20:34,BURGER TIME,5.14,Tonda
2023-10-11,21:21,Kitajska restavracija Novi Šanghai,4.34,Tonda
2023-10-11,13:52,Menza BF,4.14,Tonda
2023-10-09,11:20,Restavracija Fany & Mary,5.14,Tonda
